2021-10-16 18:34:38, DEBUG: Popen(['git', 'cat-file', '--batch-check'], cwd=/home/jia/Documents/MasterProject/CrowdNav-master/crowd_nav, universal_newlines=False, shell=None, istream=<valid stream>)
2021-10-16 18:34:38, INFO: Current git head hash code: %s
2021-10-16 18:34:38, INFO: Using device: cpu
2021-10-16 18:34:38, INFO: Policy: LSTM-GA3C w/o pairwise interaction module
2021-10-16 18:34:38, INFO: human number: 5
2021-10-16 18:34:38, INFO: Not randomize human's radius and preferred speed
2021-10-16 18:34:38, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-10-16 18:34:38, INFO: Square width: 10.0, circle width: 4.0
2021-10-16 18:34:38, INFO: Current learning rate: 0.010000
2021-10-16 18:34:38, INFO: Orca_danger_dist: 1.00
2021-10-16 18:34:38, INFO: Policy: ORCA_discrete without occupancy map
2021-10-16 18:34:38, INFO: Dynamic Obstacle Set FALSE!
2021-10-16 18:34:38, DEBUG: update action set TRUE
2021-10-16 18:37:30, INFO: TRAIN has success rate: 0.61, collision rate: 0.19, nav time: 15.16, total reward: 0.0679
2021-10-16 18:37:38, DEBUG: Average loss in epoch 0: 1.32E-03
2021-10-16 18:37:46, DEBUG: Average loss in epoch 1: 1.24E-03
2021-10-16 18:37:46, INFO: Finish imitation learning. Weights saved.
2021-10-16 18:37:46, INFO: Experience set size: 10000/10000
2021-10-16 18:37:46, INFO: Agent is invisible and has holonomic kinematic constraint
2021-10-16 18:37:46, INFO: Current learning rate: 0.001000
2021-10-16 18:39:26, INFO: TRAIN in episode 21 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -7.34E-01
2021-10-16 18:39:28, INFO: TRAIN in episode 22 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0987, loss: -1.22E+00
2021-10-16 18:39:35, INFO: TRAIN in episode 23 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -6.62E-01
2021-10-16 18:39:39, INFO: TRAIN in episode 24 has success rate: 1.00, collision rate: 0.00, nav time: 17.50, total reward: 0.1624, loss: -8.76E-01
2021-10-16 18:39:44, INFO: TRAIN in episode 25 has success rate: 1.00, collision rate: 0.00, nav time: 20.25, total reward: 0.1216, loss: -6.24E-01
2021-10-16 18:39:50, INFO: TRAIN in episode 26 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -6.74E-01
2021-10-16 18:39:56, INFO: TRAIN in episode 27 has success rate: 1.00, collision rate: 0.00, nav time: 21.75, total reward: 0.1038, loss: -6.41E-01
2021-10-16 18:40:01, INFO: TRAIN in episode 28 has success rate: 1.00, collision rate: 0.00, nav time: 20.25, total reward: 0.1092, loss: -6.53E-01
2021-10-16 18:40:07, INFO: TRAIN in episode 29 has success rate: 1.00, collision rate: 0.00, nav time: 21.50, total reward: 0.0853, loss: -5.96E-01
2021-10-16 18:40:12, INFO: TRAIN in episode 30 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1351, loss: -5.59E-01
